1670600256907,8401,-69,-58,18,-72,38,6501
1670600256911,8401,-85,24,-2,-74,37,6503
1670600256913,8401,-70,-32,-16,-76,37,6502
1670600256922,8401,-69,46,26,-72,38,6504
1670600256936,8401,-73,46,26,-79,37,6504
1670600256940,8401,-75,24,-2,-72,38,6503
1670600256941,8401,-76,-32,-16,-73,38,6502
1670600256944,8401,-70,-58,18,-65,39,6501
1670600256964,8401,-64,46,28,-74,39,6504
1670600256969,8401,-76,-58,18,-76,37,6501
1670600256969,8401,-75,24,-2,-66,39,6503
1670600256981,8401,-72,-32,-16,-73,39,6502
1670600256991,8401,-84,24,-2,-75,37,6503
1670600256993,8401,-76,-60,18,-76,37,6501
1670600257000,8401,-74,46,28,-79,37,6504
1670600257006,8401,-69,-32,-16,-77,37,6502
1670600257016,8401,-78,24,-2,-66,39,6503
1670600257017,8401,-73,-60,18,-75,38,6501
1670600257027,8401,-67,46,28,-72,38,6504
1670600257030,8401,-69,-32,-16,-77,37,6502
1670600257042,8401,-80,24,-2,-76,37,6503
1670600257045,8401,-69,-60,20,-67,39,6501
1670600257050,8401,-73,46,28,-78,37,6504
1670600257055,8401,-76,-32,-16,-72,39,6502
1670600257071,8401,-83,24,-2,-72,38,6503
1670600257073,8401,-72,-62,20,-77,37,6501
1670600257074,8401,-63,46,30,-73,39,6504
1670600257079,8401,-71,-32,-16,-78,37,6502
1670600257100,8401,-75,24,-2,-75,37,6503
1670600257101,8401,-72,48,30,-78,37,6504
1670600257103,8401,-72,-64,20,-65,39,6501
1670600257108,8401,-84,-32,-16,-72,38,6502
1670600257117,8401,-72,-64,26,-76,37,6501
1670600257123,8401,-80,24,-2,-71,38,6503
1670600257130,8401,-63,48,30,-71,39,6504
1670600257139,8401,-71,-32,-16,-79,37,6502
1670600257147,8401,-81,-64,26,-77,38,6501
1670600257159,8401,-66,48,30,-72,38,6504
1670600257161,8401,-75,-32,-14,-75,39,6502
1670600257163,8401,-78,24,-2,-75,37,6503
1670600257174,8401,-73,48,32,-79,37,6504
1670600257175,8401,-76,-64,26,-71,39,6501
1670600257190,8401,-76,-32,-14,-73,38,6502
1670600257196,8401,-71,24,-2,-74,39,6503
1670600257199,8401,-76,-64,26,-78,38,6501
1670600257203,8401,-76,-32,-14,-76,39,6502
1670600257220,8401,-83,24,-2,-76,37,6503
1670600257232,8401,-65,48,32,-69,39,6504
1670600257236,8401,-80,-32,-14,-72,38,6502
1670600257243,8401,-76,24,-4,-72,38,6503
1670600257244,8401,-84,-64,26,-75,37,6501
1670600257255,8401,-68,48,34,-76,38,6504
