Time Start, Time End, x, y, Qx, Qy
1670598712042, 1670598712051, 400.7580907523762, 498.93783449352355, 420.0, 480.0
1670598712060, 1670598712083, 400.7580907523762, 498.93783449352355, 420.0, 480.0
1670598712090, 1670598712107, 411.05115047591585, 513.0922460739478, 420.0, 540.0
1670598712114, 1670598712137, -235.26102889240417, -64.44100222400087, -240.0, -60.0
1670598712145, 1670598712164, -235.26102889240417, -64.44100222400087, -240.0, -60.0
1670598712185, 1670598712199, -821.4663535305349, -717.7756415112374, -840.0, -720.0
1670598712201, 1670598712222, -267.5446959535911, -139.50928276332832, -240.0, -120.0
1670598712237, 1670598712257, -267.5446959535911, -139.50928276332832, -240.0, -120.0
1670598712264, 1670598712285, -85.39279802806527, 71.39418418167489, -60.0, 60.0
1670598712294, 1670598712310, -85.39279802806527, 71.39418418167489, -60.0, 60.0
1670598712319, 1670598712339, -85.39279802806527, 71.39418418167489, -60.0, 60.0
1670598712347, 1670598712366, -85.39279802806527, 71.39418418167489, -60.0, 60.0
1670598712378, 1670598712420, -85.39279802806527, 71.39418418167489, -60.0, 60.0
1670598712429, 1670598712446, -269.1144885919703, -123.62593379696648, -240.0, -120.0
1670598712455, 1670598712481, -269.1144885919703, -123.62593379696648, -240.0, -120.0
1670598712482, 1670598712539, -271.40525953237295, -107.07627003738816, -300.0, -120.0
1670598712561, 1670598712601, -825.3269171093167, -685.3426287852973, -840.0, -660.0
1670598712612, 1670598712626, -825.3269171093167, -685.3426287852973, -840.0, -660.0
1670598712633, 1670598712649, -839.2445146747591, -686.6307190096427, -840.0, -660.0
1670598712658, 1670598712711, 646.2363008813489, 834.8925126239967, 660.0, 840.0
1670598712711, 1670598712786, -688.1003265575528, -391.10965692659636, -660.0, -420.0
1670598712794, 1670598712810, -57.20454984986008, 184.9686142730767, -60.0, 180.0
1670598712822, 1670598712859, -688.1003265575528, -391.10965692659636, -660.0, -420.0
1670598712866, 1670598712894, 1214.8724543404503, 1314.5128638373922, 1200.0, 1320.0
1670598712910, 1670598712923, 1214.8724543404503, 1314.5128638373922, 1200.0, 1320.0
1670598712933, 1670598712939, 646.2363008813489, 834.8925126239967, 660.0, 840.0
1670598712954, 1670598712972, 646.2363008813489, 834.8925126239967, 660.0, 840.0
1670598712982, 1670598712996, 646.2363008813489, 834.8925126239967, 660.0, 840.0
1670598713010, 1670598713022, 646.2363008813489, 834.8925126239967, 660.0, 840.0
1670598713024, 1670598713050, 646.2363008813489, 834.8925126239967, 660.0, 840.0
1670598713054, 1670598713065, 646.2363008813489, 834.8925126239967, 660.0, 840.0
1670598713078, 1670598713093, 1214.8724543404503, 1314.5128638373922, 1200.0, 1320.0
1670598713103, 1670598713116, 1214.8724543404503, 1314.5128638373922, 1200.0, 1320.0
1670598713132, 1670598713144, 1228.9196354639816, 1314.8107627903528, 1200.0, 1320.0
1670598713158, 1670598713207, 330.77316773880113, 557.469871711914, 360.0, 540.0
1670598713210, 1670598713241, 330.0666966562293, 560.5200118733733, 360.0, 540.0
1670598713257, 1670598713284, 607.8134190729068, 814.7277479539341, 600.0, 840.0
1670598713287, 1670598713316, 607.8134190729068, 814.7277479539341, 600.0, 840.0
1670598713338, 1670598713353, 593.7917209889057, 814.1967257074672, 600.0, 840.0
1670598713371, 1670598713384, 593.7917209889057, 814.1967257074672, 600.0, 840.0
1670598713386, 1670598713408, 311.37109921089444, 559.8119822114176, 300.0, 540.0
1670598713414, 1670598713437, -597.3114352517099, -251.84937234785386, -600.0, -240.0
1670598713439, 1670598713452, -594.9618244874973, -268.91705151599047, -600.0, -240.0
1670598713463, 1670598713478, -594.9618244874973, -268.91705151599047, -600.0, -240.0
1670598713492, 1670598713515, -594.9618244874973, -268.91705151599047, -600.0, -240.0
1670598713518, 1670598713636, 317.0591008559028, 512.5384117634327, 300.0, 540.0
1670598713653, 1670598713690, 1119.2187029188303, 1144.3778448677037, 1140.0, 1140.0
1670598713697, 1670598713725, -593.5498042903522, -285.25006835625413, -600.0, -300.0
1670598713738, 1670598713752, -593.5498042903522, -285.25006835625413, -600.0, -300.0
1670598713767, 1670598713784, -593.5498042903522, -285.25006835625413, -600.0, -300.0
1670598713799, 1670598713842, -593.5498042903522, -285.25006835625413, -600.0, -300.0
1670598713854, 1670598713872, -593.5498042903522, -285.25006835625413, -600.0, -300.0
1670598713880, 1670598713898, -593.5498042903522, -285.25006835625413, -600.0, -300.0
1670598713908, 1670598713943, 317.0591008559028, 512.5384117634327, 300.0, 540.0
1670598713943, 1670598713984, 1217.560512676622, 1297.3912267823362, 1200.0, 1320.0
1670598713997, 1670598714017, 791.0653660502709, 937.9379870414228, 780.0, 960.0
1670598714026, 1670598714043, 791.0653660502709, 937.9379870414228, 780.0, 960.0
1670598714052, 1670598714089, 791.0653660502709, 937.9379870414228, 780.0, 960.0
1670598714121, 1670598714145, 791.0653660502709, 937.9379870414228, 780.0, 960.0
1670598714145, 1670598714198, 597.6723912738969, 796.8902832442209, 600.0, 780.0
1670598714213, 1670598714248, 445.16582570615265, 648.881381480561, 420.0, 660.0
1670598714250, 1670598714272, 445.16582570615265, 648.881381480561, 420.0, 660.0
1670598714274, 1670598714289, 439.3799006701841, 666.4630839348911, 420.0, 660.0
1670598714303, 1670598714323, 440.21144736483694, 682.9320596726325, 420.0, 660.0
1670598714326, 1670598714348, 440.21144736483694, 682.9320596726325, 420.0, 660.0
1670598714351, 1670598714375, 440.21144736483694, 682.9320596726325, 420.0, 660.0
1670598714384, 1670598714421, 433.9681088763942, 675.8297425610476, 420.0, 660.0
