-50 , +44 , +08 , +04
-50 , +40 , +09 , +04
-50 , +38 , +09 , +04
-50 , +38 , +08 , +04
-50 , +38 , +08 , +04
-50 , +38 , +08 , +04
-50 , +38 , +08 , +05
-50 , +37 , +11 , +05
-50 , +39 , +12 , +05
-50 , +37 , +12 , +05
-50 , +33 , +12 , +04
-50 , +35 , +11 , +05
-50 , +34 , +10 , +05
-50 , +35 , +11 , +06
-50 , +36 , +13 , +08
-50 , +37 , +14 , +08
-50 , +38 , +18 , +08
-50 , +39 , +14 , +08
-50 , +35 , +14 , +08
-50 , +31 , +13 , +07
-50 , +26 , +15 , +07
-50 , +29 , +11 , +07
-50 , +29 , +11 , +07
-50 , +29 , +08 , +07
-50 , +30 , +12 , +07
-50 , +30 , +08 , +06
-50 , +27 , +07 , +06
-50 , +29 , +06 , +06
-50 , +26 , +01 , +06
-51 , +25 , +03 , +05
-51 , +27 , +05 , +05
-50 , +28 , +09 , +05
-51 , +31 , +10 , +05
-50 , +31 , +05 , +06
-50 , +26 , +07 , +05
-51 , +28 , +07 , +05
-52 , +30 , +07 , +05
-52 , +31 , +08 , +05
-52 , +34 , +11 , +04
-52 , +36 , +09 , +04
-52 , +36 , +11 , +04
-51 , +27 , +09 , +03
-51 , +29 , +06 , +03
-51 , +30 , +07 , +03
-51 , +26 , +07 , +03
-51 , +29 , +07 , +02
-52 , +28 , +08 , +02
-52 , +29 , +09 , +02
-52 , +26 , +08 , +02
-52 , +27 , +08 , +03
-52 , +29 , +09 , +03
-53 , +26 , +06 , +03
-53 , +26 , +07 , +03
-53 , +23 , +07 , +03
-53 , +20 , +09 , +03
-53 , +17 , +11 , +03
-52 , +21 , +11 , +03
-52 , +18 , +11 , +04
-52 , +16 , +15 , +04
-52 , +17 , +15 , +05
-52 , +18 , +13 , +06
-52 , +17 , +12 , +06
-52 , +18 , +12 , +07
-51 , +24 , +16 , +07
-51 , +25 , +19 , +07
-51 , +27 , +19 , +06
-51 , +28 , +22 , +04
-50 , +29 , +19 , +05
-50 , +30 , +17 , +05
-49 , +27 , +16 , +06
-49 , +28 , +15 , +07
-48 , +31 , +13 , +08
-47 , +33 , +13 , +08
-47 , +34 , +08 , +09
-46 , +36 , +08 , +09
-45 , +39 , +06 , +11
-45 , +41 , +03 , +11
-44 , +42 , +05 , +11
-44 , +42 , +05 , +11
-44 , +44 , +06 , +10
-43 , +45 , +04 , +10
-43 , +45 , +00 , +11
-42 , +45 , +02 , +11
-42 , +45 , +03 , +12
-42 , +44 , -01 , +13
-40 , +44 , -04 , +14
-40 , +44 , -04 , +13
-39 , +44 , -06 , +14
-39 , +45 , -08 , +14
-38 , +44 , -07 , +14
-37 , +44 , -06 , +14
-36 , +44 , -06 , +13
-36 , +44 , -06 , +13
-36 , +44 , -07 , +13
-35 , +45 , -05 , +13
-35 , +44 , -06 , +13
-35 , +44 , -06 , +13
-34 , +43 , -06 , +13
-33 , +43 , -06 , +13
-32 , +44 , -04 , +13
-32 , +44 , -03 , +13
-32 , +43 , -03 , +14
-30 , +43 , -01 , +14
-29 , +43 , +00 , +15
-28 , +40 , +02 , +15
-27 , +40 , +02 , +15
-27 , +39 , +03 , +16
-26 , +38 , +04 , +16
-26 , +36 , +04 , +16
-25 , +35 , +04 , +16
-24 , +33 , +03 , +15
-23 , +32 , +02 , +15
-22 , +31 , +02 , +15
-21 , +30 , +03 , +14
-19 , +29 , +03 , +14
-19 , +27 , +03 , +14
-18 , +27 , +02 , +15
-16 , +25 , +01 , +14
-16 , +24 , +00 , +15
-12 , +20 , -02 , +15
-11 , +19 , -03 , +16
-07 , +16 , -01 , +16
-05 , +15 , +01 , +16
-03 , +14 , +05 , +16
-02 , +13 , +01 , +17
-01 , +11 , +02 , +17
+00 , +09 , +03 , +18
+01 , +08 , +00 , +18
+02 , +05 , +00 , +18
+03 , +04 , +01 , +18
+04 , +00 , +01 , +19
+05 , -01 , +01 , +19
+09 , -05 , +02 , +20
+09 , -06 , +01 , +20
+10 , -08 , +03 , +21
+13 , -12 , +05 , +21
+13 , -12 , +05 , +21
+15 , -15 , +09 , +22
+16 , -16 , +10 , +22
+16 , -19 , +11 , +22
+17 , -20 , +11 , +23
+18 , -21 , +10 , +23
+19 , -23 , +10 , +24
+20 , -24 , +11 , +24
+21 , -24 , +11 , +24
+22 , -26 , +10 , +24
+23 , -26 , +10 , +25
+24 , -24 , +09 , +26
+25 , -26 , +09 , +26
+25 , -27 , +13 , +27
+26 , -24 , +10 , +27
+26 , -26 , +08 , +28
+27 , -28 , +08 , +28
+28 , -26 , +07 , +28
+30 , -20 , +03 , +28
+30 , -22 , +03 , +28
+31 , -22 , +03 , +29
+32 , -21 , +04 , +28
+31 , -18 , +05 , +28
+32 , -16 , +05 , +28
+33 , -13 , +06 , +28
+33 , -15 , +06 , +28
+34 , -20 , +08 , +27
+35 , -20 , +06 , +27
+35 , -23 , +05 , +27
+37 , -23 , +05 , +26
+37 , -26 , +05 , +26
+37 , -27 , +05 , +26
+37 , -27 , +06 , +25
+37 , -28 , +06 , +25
+37 , -29 , +06 , +25
+38 , -31 , +06 , +24
+39 , -28 , +06 , +24
+40 , -29 , +06 , +23
+40 , -30 , +06 , +23
+41 , -30 , +06 , +23
+41 , -31 , +05 , +22
+41 , -32 , +04 , +21
+37 , -37 , +04 , +18
+37 , -36 , +04 , +17
+37 , -36 , +03 , +16
+37 , -37 , +02 , +16
+38 , -32 , +03 , +15
+38 , -27 , +01 , +14
+39 , -29 , +01 , +13
+39 , -30 , -01 , +13
+39 , -30 , -03 , +12
+39 , -31 , -04 , +11
+40 , -31 , -06 , +10
+41 , -34 , -06 , +10
+41 , -34 , -05 , +09
+37 , -32 , -05 , +07
+38 , -27 , -05 , +06
+38 , -29 , -05 , +04
+40 , -30 , -05 , +03
+42 , -28 , -05 , +02
+43 , -27 , -08 , +01
+43 , -28 , -06 , +01
+43 , -27 , -05 , +00
+44 , -28 , -04 , -01
+43 , -29 , -03 , -02
+43 , -31 , -02 , -02
+43 , -33 , -05 , -03
+42 , -34 , -06 , -03
+43 , -35 , -04 , -04
+42 , -37 , -06 , -04
+44 , -37 , -04 , -04
+45 , -38 , -03 , -04
+45 , -32 , -04 , -05
+45 , -33 , -03 , -05
+46 , -33 , -04 , -05
+45 , -35 , -05 , -05
+46 , -29 , -04 , -06
+46 , -28 , -03 , -06
+48 , -30 , -03 , -06
+48 , -31 , -02 , -06
+47 , -31 , +01 , -06
+48 , -34 , -01 , -07
+45 , -34 , -02 , -07
+46 , -30 , +00 , -07
+46 , -32 , -02 , -07
+46 , -32 , -04 , -08
+45 , -32 , -03 , -09
+45 , -33 , -03 , -09
+44 , -32 , -01 , -10
+44 , -33 , -05 , -10
+44 , -33 , -09 , -10
+43 , -33 , -09 , -10
+43 , -34 , -08 , -10
+43 , -33 , -07 , -10
+42 , -33 , -04 , -10
+42 , -33 , -05 , -10
+42 , -32 , -05 , -10
+42 , -32 , -07 , -10
+42 , -32 , -11 , -09
+41 , -32 , -10 , -10
+40 , -31 , -07 , -10
+40 , -30 , -06 , -09
+40 , -30 , -07 , -09
+40 , -29 , -06 , -09
+39 , -27 , -09 , -08
+39 , -27 , -08 , -08
+38 , -26 , -07 , -08
+38 , -25 , -07 , -08
+38 , -26 , -08 , -08
+38 , -27 , -07 , -08
+37 , -27 , -03 , -08
+37 , -26 , -03 , -08
+36 , -25 , -03 , -08
+35 , -25 , -02 , -09
+34 , -25 , -03 , -09
+33 , -25 , -03 , -09
+33 , -25 , -03 , -09
+31 , -23 , -06 , -10
+30 , -23 , -06 , -10
+29 , -20 , -05 , -10
+28 , -20 , -05 , -10
+26 , -19 , -02 , -09
+25 , -18 , -02 , -10
+24 , -18 , -03 , -10
+23 , -16 , -05 , -10
+22 , -16 , -08 , -10
+21 , -17 , -10 , -09
+20 , -16 , -09 , -08
+20 , -15 , -08 , -08
+18 , -14 , -08 , -07
+17 , -13 , -07 , -07
+16 , -12 , -06 , -06
+15 , -11 , -06 , -07
+11 , -08 , -05 , -06
+10 , -07 , -03 , -06
+09 , -07 , -03 , -06
+07 , -05 , -01 , -05
+06 , -03 , -01 , -05
+05 , -02 , +00 , -05
+03 , -01 , +02 , -06
+02 , +00 , +03 , -06
+01 , +01 , +03 , -05
-01 , +02 , +03 , -04
-02 , +03 , +03 , -04
-03 , +03 , +03 , -03
-04 , +05 , +04 , -03
-07 , +07 , +05 , -02
-08 , +08 , +04 , -02
-10 , +09 , -03 , -02
-12 , +12 , -02 , -03
-13 , +12 , -02 , -03
-14 , +14 , -02 , -03
-14 , +17 , -02 , -03
-15 , +19 , -02 , -04
-16 , +20 , -02 , -03
-17 , +21 , -02 , -04
-17 , +22 , +01 , -04
-18 , +23 , +03 , -04
-19 , +23 , +04 , -04
-20 , +24 , +05 , -04
-21 , +24 , +06 , -04
-21 , +25 , +07 , -04
-23 , +25 , +08 , -04
-24 , +27 , +09 , -05
-24 , +27 , +08 , -05
-26 , +28 , +10 , -04
-26 , +29 , +11 , -04
-27 , +30 , +11 , -04
-28 , +30 , +12 , -04
-28 , +30 , +14 , -03
-29 , +31 , +15 , -03
-29 , +32 , +16 , -03
-30 , +32 , +17 , -03
-31 , +33 , +18 , -02
-31 , +33 , +19 , -02
-32 , +33 , +15 , -02
-33 , +33 , +15 , -02
-34 , +30 , +16 , -02
-35 , +28 , +17 , -03
-35 , +30 , +18 , -03
-36 , +30 , +18 , -03
-37 , +31 , +19 , -03
-38 , +32 , +20 , -03
-39 , +33 , +21 , -04
-39 , +34 , +21 , -04
-40 , +34 , +21 , -04
-40 , +35 , +20 , -04
-40 , +36 , +20 , -04
-41 , +36 , +21 , -05
-41 , +37 , +21 , -05
-41 , +37 , +21 , -04
-42 , +37 , +21 , -04
-42 , +38 , +21 , -03
-43 , +38 , +20 , -03
-43 , +38 , +19 , -03
-44 , +38 , +18 , -02
-44 , +38 , +17 , -01
-44 , +38 , +14 , -01
-45 , +40 , +12 , -01
-45 , +40 , +12 , -01
-46 , +41 , +16 , -01
-46 , +41 , +17 , -01
-46 , +42 , +18 , -02
-46 , +43 , +19 , -02
-46 , +43 , +20 , -02
-47 , +43 , +22 , -03
-47 , +43 , +19 , -03
-46 , +44 , +20 , -02
-46 , +44 , +21 , -02
-47 , +44 , +21 , -02
-47 , +46 , +22 , -02
-48 , +46 , +22 , -02
-49 , +48 , +22 , -02
-49 , +49 , +21 , -02
-50 , +48 , +23 , -02
-50 , +49 , +23 , -02
-50 , +48 , +23 , -03
-51 , +50 , +20 , -02
-51 , +51 , +20 , -03
-51 , +51 , +20 , -03
-52 , +51 , +20 , -04
-51 , +50 , +20 , -01
-52 , +50 , +22 , +00
-52 , +51 , +22 , -01
-52 , +51 , +22 , +00
-52 , +51 , +23 , +01
-53 , +51 , +25 , +01
-53 , +51 , +27 , +00
-53 , +52 , +28 , +00
-53 , +52 , +29 , +00
-54 , +51 , +29 , +00
-54 , +51 , +28 , +00
-55 , +52 , +26 , -01
-56 , +52 , +26 , +00
-55 , +53 , +26 , +01
-55 , +52 , +27 , +01
-55 , +52 , +27 , +02
-55 , +52 , +24 , +02
-55 , +52 , +25 , +02
-55 , +53 , +25 , -01
-55 , +55 , +27 , +00
-56 , +55 , +24 , +01
-56 , +56 , +26 , +02
-56 , +57 , +25 , +03
-57 , +57 , +25 , +06
-57 , +58 , +24 , +06
-57 , +58 , +23 , +07
-57 , +58 , +25 , +07
-58 , +58 , +25 , +07
-58 , +58 , +27 , +07
-58 , +57 , +24 , +07
-58 , +57 , +23 , +07
-59 , +58 , +23 , +07
-60 , +58 , +19 , +07
-59 , +58 , +19 , +07
-60 , +58 , +20 , +08
-60 , +58 , +21 , +08
-61 , +59 , +22 , +07
-61 , +60 , +21 , +07
-61 , +60 , +20 , +05
-61 , +60 , +18 , +05
-61 , +61 , +18 , +05
-61 , +62 , +18 , +05
-61 , +62 , +16 , +02
-61 , +62 , +17 , +02
-61 , +62 , +17 , +02
-61 , +61 , +15 , +00
-61 , +61 , +13 , +00
-60 , +60 , +12 , +00
-60 , +60 , +11 , +01
-60 , +60 , +12 , +01
-60 , +60 , +14 , +01
-59 , +60 , +11 , +02
-59 , +59 , +13 , +02
-59 , +58 , +11 , +02
-58 , +58 , +12 , +02
