+500 , +20 , +19 , -21
+500 , +21 , +19 , -22
-35 , +20 , +19 , -22
-36 , +21 , +19 , -22
+500 , +21 , +19 , -23
+500 , +22 , +19 , +500
-35 , +500 , +500 , +500
-35 , +22 , +18 , -26
-36 , +21 , +18 , -27
-36 , +21 , +19 , -27
-37 , +20 , +19 , -28
-37 , +500 , +500 , +500
+500 , +500 , +500 , -30
-38 , +20 , +19 , -31
-37 , +21 , +18 , -27
-38 , +20 , +18 , -28
-38 , +20 , +18 , -28
+500 , +20 , +500 , +500
-37 , +20 , +18 , -31
+500 , +500 , +18 , +500
-37 , +500 , +500 , +500
-37 , +19 , +18 , -28
+500 , +20 , +17 , -29
-37 , +19 , +17 , -30
-36 , +19 , +17 , -31
-36 , +20 , +17 , -31
-35 , +500 , +500 , +500
-35 , +21 , +17 , -27
-35 , +21 , +16 , -24
-35 , +21 , +16 , -21
-35 , +20 , +16 , -22
+500 , +20 , +16 , -23
+500 , +500 , +500 , -21
-35 , +19 , +15 , -22
-36 , +18 , +16 , -23
-35 , +17 , +16 , -25
+500 , +18 , +500 , +500
-36 , +17 , +16 , -27
+500 , +500 , +16 , +500
-35 , +16 , +15 , -26
-36 , +16 , +15 , -27
-36 , +16 , +15 , -24
-36 , +15 , +15 , -26
-37 , +15 , +14 , -26
+500 , +16 , +14 , -27
+500 , +16 , +14 , -28
-36 , +500 , +500 , +500
-36 , +17 , +14 , -26
-36 , +18 , +13 , -24
-36 , +18 , +13 , -21
-35 , +18 , +13 , -20
+500 , +500 , +500 , -18
+500 , +18 , +13 , -20
+500 , +19 , +13 , -21
-32 , +19 , +12 , -23
-33 , +500 , +500 , +500
-33 , +19 , +500 , +500
-34 , +19 , +12 , -20
+500 , +500 , +12 , +500
+500 , +21 , +12 , -24
-34 , +20 , +12 , -24
-34 , +21 , +12 , -25
-34 , +23 , +13 , +500
-34 , +23 , +13 , -25
-35 , +22 , +13 , -26
+500 , +500 , +14 , +500
-35 , +500 , +500 , +500
+500 , +23 , +14 , -27
-33 , +23 , +14 , -22
-33 , +22 , +15 , -23
+500 , +500 , +500 , -25
-34 , +23 , +15 , -21
-35 , +22 , +15 , -23
-33 , +22 , +16 , -20
-33 , +22 , +16 , -21
+500 , +21 , +500 , +500
-32 , +21 , +16 , -19
-32 , +21 , +16 , -17
+500 , +500 , +16 , +500
-32 , +22 , +16 , -17
+500 , +22 , +16 , -17
-32 , +22 , +16 , -17
-31 , +23 , +16 , -18
-32 , +22 , +17 , +500
-32 , +24 , +17 , -15
-33 , +500 , +500 , +500
-32 , +23 , +17 , -14
+500 , +23 , +17 , +500
-33 , +24 , +17 , -14
+500 , +500 , +500 , -16
+500 , +25 , +500 , +500
-31 , +24 , +17 , -15
-30 , +25 , +17 , -13
-30 , +25 , +17 , +500
+500 , +25 , +500 , +500
-30 , +25 , +17 , -12
-31 , +24 , +17 , -14
+500 , +500 , +18 , +500
-31 , +23 , +18 , -17
-30 , +23 , +18 , -15
-31 , +24 , +18 , -13
+500 , +24 , +17 , -15
-32 , +23 , +18 , -16
-32 , +23 , +18 , -18
-31 , +24 , +17 , -15
+500 , +24 , +17 , -17
-32 , +500 , +500 , +500
-33 , +24 , +17 , -15
-33 , +23 , +18 , -16
-34 , +22 , +18 , +500
+500 , +500 , +500 , -18
-34 , +23 , +18 , -15
-32 , +23 , +18 , -13
-33 , +22 , +18 , -15
+500 , +23 , +500 , +500
-32 , +24 , +18 , -13
+500 , +24 , +18 , -15
+500 , +500 , +18 , +500
+500 , +25 , +18 , -18
+500 , +25 , +500 , +500
-33 , +25 , +18 , -19
-33 , +26 , +18 , -19
+500 , +26 , +18 , -20
+500 , +500 , +18 , +500
-33 , +25 , +18 , -21
-33 , +26 , +18 , -22
-33 , +500 , +500 , +500
-32 , +26 , +18 , -15
-33 , +25 , +18 , -16
-31 , +25 , +18 , -13
+500 , +500 , +500 , -10
-31 , +25 , +18 , -08
+500 , +26 , +18 , -09
+500 , +500 , +17 , +500
+500 , +26 , +500 , +500
+500 , +27 , +17 , -09
+500 , +27 , +17 , -10
+500 , +500 , +17 , +500
+500 , +27 , +17 , -09
-31 , +26 , +18 , -11
-32 , +25 , +18 , -13
-33 , +24 , +18 , +500
+500 , +25 , +18 , -15
-33 , +26 , +18 , -12
-33 , +25 , +18 , -12
-33 , +25 , +18 , -14
+500 , +26 , +18 , -15
-34 , +500 , +500 , +500
-35 , +24 , +18 , -18
+500 , +500 , +500 , -14
-34 , +25 , +18 , -14
-32 , +25 , +18 , -11
-33 , +25 , +18 , +500
+500 , +25 , +500 , +500
+500 , +25 , +18 , -12
-33 , +25 , +18 , -09
+500 , +500 , +18 , +500
+500 , +25 , +18 , -10
-33 , +24 , +18 , -12
-34 , +23 , +18 , +500
-34 , +23 , +18 , -15
-33 , +23 , +18 , -12
-32 , +23 , +18 , -10
-32 , +22 , +19 , -11
-33 , +22 , +19 , -10
-33 , +22 , +19 , -12
-34 , +500 , +18 , +500
-34 , +500 , +500 , +500
-35 , +23 , +19 , -10
+500 , +500 , +500 , -07
+500 , +24 , +18 , -09
-35 , +23 , +19 , -10
+500 , +23 , +18 , -13
+500 , +24 , +500 , +500
+500 , +24 , +18 , -16
-35 , +500 , +18 , +500
+500 , +500 , +18 , +500
-36 , +23 , +18 , -16
-37 , +23 , +18 , -17
-36 , +23 , +18 , -18
-36 , +23 , +18 , -15
+500 , +24 , +18 , -17
+500 , +24 , +18 , -18
-33 , +24 , +18 , -16
-34 , +23 , +18 , -18
-34 , +23 , +18 , -15
