GT time, NAN, PATH start, PATH end, GT x, GT y, PATH x, PATH y, PATH qx, PATH qy, distance
1670599160607, -1, 1670599160590, 1670599160612, 960, 240, 854, 195, 840, 180, 115.15641536623133
1670599163047, -1, 1670599163025, 1670599163054, 960, 360, 903, 395, 900, 420, 66.88796603276258
1670599165760, -1, 1670599165742, 1670599165760, 840, 360, 802, 300, 780, 300, 71.02112361825881
1670599167995, -1, 1670599167982, 1670599168003, 720, 360, 734, 367, 720, 360, 15.652475842498529
1670599170625, -1, 1670599170575, 1670599170633, 600, 360, 603, 332, 600, 360, 28.160255680657446
1670599173309, -1, 1670599173299, 1670599173385, 480, 360, 425, 281, 420, 300, 96.26006440887103
1670599175799, -1, 1670599175783, 1670599175809, 360, 360, 448, 318, 420, 300, 97.50897394599124
1670599179268, -1, 1670599179256, 1670599179278, 240, 240, 359, 202, 360, 180, 124.91997438360288
1670599181868, -1, 1670599181853, 1670599181885, 240, 120, 438, 16, 420, 0, 223.6515146382872
