Time Start, Time End, x, y, Qx, Qy
1670598714552, 1670598714593, 591.5296416058991, 794.7012189392009, 600.0, 780.0
1670598714599, 1670598714636, 552.7732988784599, 775.2076379934399, 540.0, 780.0
1670598714637, 1670598714723, 535.6972514719968, 771.3729921133454, 540.0, 780.0
1670598714726, 1670598714756, 518.6212040655336, 767.538346233251, 540.0, 780.0
1670598714761, 1670598714780, 490.9087295910953, 753.9502436301627, 480.0, 780.0
1670598714783, 1670598714804, 462.4204124114128, 739.6205576994836, 480.0, 720.0
1670598714816, 1670598714831, 446.29154743377285, 733.2605807429982, 420.0, 720.0
1670598714832, 1670598714858, 441.9817261298406, 733.6086343082686, 420.0, 720.0
1670598714865, 1670598714889, 438.33480044489136, 733.2793336890295, 420.0, 720.0
1670598714892, 1670598714920, 434.3363263627363, 732.3075901869058, 420.0, 720.0
1670598714933, 1670598714948, 429.51004345453, 731.7966577623239, 420.0, 720.0
1670598714960, 1670598714995, 424.68376054632364, 731.285725337742, 420.0, 720.0
1670598715001, 1670598715049, 421.633875101429, 730.9484987218704, 420.0, 720.0
1670598715062, 1670598715074, 419.0002122224305, 731.0847599134379, 420.0, 720.0
1670598715087, 1670598715100, 416.18419118085006, 729.7648771087405, 420.0, 720.0
1670598715106, 1670598715129, 414.0166017361102, 727.066249018994, 420.0, 720.0
1670598715136, 1670598715166, 396.85401918447195, 702.6868518526798, 420.0, 720.0
1670598715167, 1670598715190, 386.2235681088967, 686.3488094568162, 360.0, 660.0
1670598715196, 1670598715216, 376.26971695157835, 668.4879713235458, 360.0, 660.0
1670598715220, 1670598715240, 376.9982466212921, 660.4629900995374, 360.0, 660.0
1670598715249, 1670598715271, 379.639913422995, 652.3548894311107, 360.0, 660.0
1670598715276, 1670598715299, 382.81499300774703, 645.680260041637, 360.0, 660.0
1670598715300, 1670598715324, 385.3557766581742, 642.0872110144054, 360.0, 660.0
1670598715332, 1670598715352, 387.2336646896182, 639.1715161716835, 360.0, 660.0
1670598715368, 1670598715381, 389.32096225380553, 637.0259695570176, 360.0, 660.0
1670598715390, 1670598715407, 392.1328474933791, 634.0692616279174, 420.0, 660.0
1670598715421, 1670598715457, 396.98185290052277, 628.8877313654502, 420.0, 600.0
1670598715457, 1670598715512, 400.28208302603974, 623.8728828800035, 420.0, 600.0
1670598715523, 1670598715524, 403.2197324675465, 619.4652089012208, 420.0, 600.0
1670598715538, 1670598715554, 418.71354994023346, 623.4220917730615, 420.0, 600.0
1670598715563, 1670598715578, 441.206393842988, 632.5631799222464, 420.0, 660.0
1670598715592, 1670598715605, 462.92686536600144, 643.2630108648221, 480.0, 660.0
1670598715618, 1670598715646, 460.0745003215547, 636.4191373854883, 480.0, 660.0
1670598715656, 1670598715672, 455.38586311212856, 631.032027411663, 480.0, 660.0
1670598715701, 1670598715729, 496.9543589467188, 657.7871773147758, 480.0, 660.0
1670598715740, 1670598715757, 512.4532565847676, 665.6448871956051, 540.0, 660.0
1670598715769, 1670598715783, 519.6993376441796, 666.8118978820975, 540.0, 660.0
1670598715797, 1670598715825, 525.9277753353917, 668.0565578021691, 540.0, 660.0
1670598715829, 1670598715853, 540.4090296052407, 675.9919169165777, 540.0, 660.0
1670598715861, 1670598715880, 580.2829802255065, 703.4356572367324, 600.0, 720.0
1670598715884, 1670598715910, 620.2047155501274, 730.1318160779299, 600.0, 720.0
1670598715921, 1670598715935, 658.0893307071781, 759.0527972524945, 660.0, 780.0
1670598715947, 1670598715964, 649.5107114990436, 754.3226735245421, 660.0, 780.0
1670598715979, 1670598715990, 641.2946729749194, 748.9853752899257, 660.0, 720.0
1670598716008, 1670598716023, 622.3406076127534, 736.2965844335181, 600.0, 720.0
1670598716032, 1670598716055, 596.3875158205196, 718.4235882997666, 600.0, 720.0
1670598716059, 1670598716079, 570.434424028286, 700.550592166015, 600.0, 720.0
1670598716090, 1670598716103, 568.0485917209969, 700.4395345344216, 540.0, 720.0
1670598716113, 1670598716133, 583.5552004306512, 711.753619014939, 600.0, 720.0
1670598716138, 1670598716160, 548.7594451211831, 687.5004921561529, 540.0, 660.0
1670598716166, 1670598716182, 538.8959935815116, 682.9695080916596, 540.0, 660.0
1670598716189, 1670598716216, 537.2853586204768, 685.1292232215033, 540.0, 660.0
1670598716217, 1670598716245, 535.4001223312755, 688.4298846649853, 540.0, 660.0
1670598716248, 1670598716272, 525.2620694634373, 685.0398469141303, 540.0, 660.0
1670598716276, 1670598716294, 491.1788074908009, 660.875378165174, 480.0, 660.0
1670598716308, 1670598716348, 455.9648077092188, 635.7407663195476, 480.0, 660.0
1670598716349, 1670598716377, 418.0598338567339, 608.785930994408, 420.0, 600.0
1670598716386, 1670598716406, 425.7644526625605, 614.563450429075, 420.0, 600.0
1670598716416, 1670598716430, 433.4690714683871, 620.3409698637422, 420.0, 600.0
1670598716445, 1670598716459, 441.17369027421364, 626.1184892984093, 420.0, 600.0
1670598716473, 1670598716483, 448.4826025514965, 633.132551910234, 420.0, 660.0
1670598716496, 1670598716513, 456.08761856895507, 640.4092034126821, 480.0, 660.0
1670598716522, 1670598716536, 464.9187946469802, 647.7308803148255, 480.0, 660.0
1670598716542, 1670598716565, 457.37691750420476, 644.0029626918174, 480.0, 660.0
1670598716570, 1670598716585, 453.1047068835096, 642.2177706762233, 480.0, 660.0
1670598716597, 1670598716638, 448.8324962628145, 640.4325786606292, 420.0, 660.0
1670598716638, 1670598716652, 444.7107238766635, 637.2125455272936, 420.0, 660.0
1670598716661, 1670598716681, 440.8635528186791, 632.8515660803197, 420.0, 660.0
1670598716688, 1670598716705, 437.23185029028696, 628.6951428852245, 420.0, 600.0
1670598716717, 1670598716732, 432.68052771646995, 624.5049506403577, 420.0, 600.0
1670598716743, 1670598716762, 428.66349311813195, 620.0824949177916, 420.0, 600.0
1670598716769, 1670598716786, 426.84360954723985, 616.4292297243888, 420.0, 600.0
1670598716793, 1670598716810, 425.6497455015362, 613.3543270879655, 420.0, 600.0
1670598716818, 1670598716834, 424.06544755372147, 609.3079561222871, 420.0, 600.0
1670598716842, 1670598716871, 422.48114960590675, 605.2615851566088, 420.0, 600.0
1670598716884, 1670598716898, 420.9944449832689, 599.1659347491186, 420.0, 600.0
1670598716909, 1670598716944, 419.28153982175405, 592.7944672736911, 420.0, 600.0
1670598716946, 1670598716977, 416.5635033802163, 586.5175378842928, 420.0, 600.0
1670598716979, 1670598717013, 413.4857513892584, 579.931093139833, 420.0, 600.0
1670598717019, 1670598717044, 411.36634257958747, 575.5581589450467, 420.0, 600.0
1670598717045, 1670598717075, 409.24693376991655, 571.1852247502602, 420.0, 600.0
1670598717076, 1670598717102, 406.2505996607202, 569.2220977754722, 420.0, 540.0
1670598717109, 1670598717129, 403.77308467911934, 566.0672685757064, 420.0, 540.0
1670598717136, 1670598717156, 401.0801011679262, 562.7078831240619, 420.0, 540.0
1670598717160, 1670598717184, 399.15411632226244, 556.9468869975059, 420.0, 540.0
1670598717187, 1670598717210, 397.82458131006535, 552.3882974453195, 420.0, 540.0
1670598717213, 1670598717227, 397.010014600623, 548.8081162105358, 420.0, 540.0
